'order_no','aopmargin_percentage','series','bill_to','comment','ctry_code','currency','date','dealer_name','dealer_net','dealer_net_after_sur_charge','dealerpo','margin_after_sur_charge','margin_percentage_after_sur_charge','model','order_type','quantity','region','total_cost','truck_class','product_dimension'
H14331,0.0,A7S4,'017005','',VN,,2023-03-22,'KY LUC CO., LTD',15121.600000000002,15121.600000000002,Y-U-01123-3,2404.3344,0.159,ERP25UX,R,1,1,12717.265600000002,'1',264
H14330,0.0,A7S4,'017005','',VN,,2023-03-22,'KY LUC CO., LTD',15121.600000000002,15121.600000000002,Y-U-01123-2,2404.3344,0.159,ERP25UX,R,1,1,12717.265600000002,'1',264
H14329,0.0,A7S4,'017005','',VN,,2023-03-22,'KY LUC CO., LTD',30243.200000000008,30243.200000000008,Y-U-01123-1,4808.668800000001,0.159,ERP25UX,R,1,1,25434.531200000005,'1',264
H14328,0.0,C225,'081645','',KR,,2023-03-22,HYSTER KOREA INC.,17411.649999999998,17411.649999999998,'23022HKT0322',2246.1028499999998,0.129,J1.8GX,R,1,1,15165.547149999999,'1',3
H14327,0.0,C225,'081645','',KR,,2023-03-22,HYSTER KOREA INC.,16896.274999999998,16896.274999999998,'23021HKT0322',2128.93065,0.126,J1.8GX,R,1,1,14767.344349999998,'1',3
H14160,0.0,A7S6,'804105','',ID,,2023-03-21,PT UNIVERSAL TRAKTOR,23223.5,23223.5,'024/YALE-PO/MAR/2023',5434.299,0.234,GP50UX,R,1,1,17789.201,'5',280
H14159,0.0,A7T0,'804105','',ID,,2023-03-21,PT UNIVERSAL TRAKTOR,31146.5,31146.5,'022/YALE-PO/MAR/2023',9842.294,0.316,GP50UX6,R,1,1,21304.206,'5',267
H14158,0.0,A7S6,'804105','',ID,,2023-03-21,PT UNIVERSAL TRAKTOR,23223.5,23223.5,'023/YALE-PO/MAR/2023',5434.299,0.234,GP50UX,R,1,1,17789.201,'5',280
H14157,0.0,A7T0,'804105','',ID,,2023-03-21,PT UNIVERSAL TRAKTOR,31146.5,31146.5,'021/YALE-PO/MAR/2023',9842.294,0.316,GP50UX6,R,1,1,21304.206,'5',267
H14156,0.0,A7S4,'804105','',ID,,2023-03-21,PT UNIVERSAL TRAKTOR,19912.2,19912.2,'020/YALE-PO/MAR/2023',5077.611,0.255,ERP18UX,R,1,1,14834.589,'1',264
H14155,0.0,C900,'804105','',ID,,2023-03-21,PT UNIVERSAL TRAKTOR,20594.375,20594.375,'019/YALE-PO/MAR/2023',3027.3731249999996,0.147,FBR18SZ,R,1,1,17567.001875,'2',38
H14154,0.0,C224,'804105','',ID,,2023-03-21,PT UNIVERSAL TRAKTOR,30636.5,30636.5,'018/YALE-PO/MAR/2023',7383.3965,0.241,FBR20SZ,R,1,1,23253.1035,'2',33
H13967,0.0,A7S4,'880805','',IN,,2023-03-20,ELECTROMECH LIFT TRUCKS,11341.775,11341.775,EMLT/22-23/I0041-05,1451.7472,0.128,ERP25UX,R,1,1,9890.0278,'1',264
H13966,0.0,A7S4,'880805','',IN,,2023-03-20,ELECTROMECH LIFT TRUCKS,11341.775,11341.775,EMLT/22-23/I0041-04,1451.7472,0.128,ERP25UX,R,1,1,9890.0278,'1',264
H13965,0.0,A7S4,'880805','',IN,,2023-03-20,ELECTROMECH LIFT TRUCKS,11341.775,11341.775,EMLT/22-23/I0041-03,1451.7472,0.128,ERP25UX,R,1,1,9890.0278,'1',264
H13964,0.0,A7S4,'880805','',IN,,2023-03-20,ELECTROMECH LIFT TRUCKS,11341.775,11341.775,EMLT/22-23/I0041-02,1451.7472,0.128,ERP25UX,R,1,1,9890.0278,'1',264
H13963,0.0,A7S4,'880805','',IN,,2023-03-20,ELECTROMECH LIFT TRUCKS,11341.775,11341.775,EMLT/22-23/I0041,1451.7472,0.128,ERP25UX,R,1,1,9890.0278,'1',264
H13962,0.0,A7R3,'880805','',IN,,2023-03-20,ELECTROMECH LIFT TRUCKS,5656.2,5656.2,EMLT/22-23/I0040-02,1283.9574,0.227,MS15XUX,R,1,1,4372.2426,'3',255
H13961,0.0,A7R3,'880805','',IN,,2023-03-20,ELECTROMECH LIFT TRUCKS,7560.2,7560.2,EMLT/22-23/I0040,1716.1654,0.227,MS15XUX,R,1,1,5844.0346,'3',255
H13960,0.0,A7R3,'880805','',IN,,2023-03-20,ELECTROMECH LIFT TRUCKS,5264.2,5264.2,EMLT/22-23/I0039,1158.124,0.22,MS15XUX,R,1,1,4106.076,'3',255
H13605,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036-15,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13604,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036-14,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13603,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036-13,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13602,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036-12,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13601,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036-11,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13600,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036-10,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13599,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036-09,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13598,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036-08,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13597,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036-07,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13596,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036-06,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13595,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036-05,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13594,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036-04,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13593,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036-03,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13591,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036-02,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13589,0.0,A7S6,'880805','',IN,,2023-03-17,ELECTROMECH LIFT TRUCKS,21376.0,21376.0,EMLT/22-23/I0036,2714.752,0.127,GP50UX,R,1,1,18661.248,'5',280
H13586,0.0,A3D4,'814065','',TH,,2023-03-17,JENBUNJERD CO LTD,843.2,843.2,POI2300218,168.64000000000001,0.2,MPC15,R,1,1,674.5600000000001,'3',268
H13585,0.0,A3D4,'814065','',TH,,2023-03-17,JENBUNJERD CO LTD,843.2,843.2,POI2300217,168.64000000000001,0.2,MPC15,R,1,1,674.5600000000001,'3',268
H13584,0.0,A3D4,'814065','',TH,,2023-03-17,JENBUNJERD CO LTD,979.2,979.2,POI2300216,194.8608,0.199,MPC15,R,1,1,784.3392,'3',268
H13583,0.0,A3D4,'814065','',TH,,2023-03-17,JENBUNJERD CO LTD,979.2,979.2,POI2300215,194.8608,0.199,MPC15,R,1,1,784.3392,'3',268
H13582,0.0,A3D4,'814065','',TH,,2023-03-17,JENBUNJERD CO LTD,979.2,979.2,POI2300214,194.8608,0.199,MPC15,R,1,1,784.3392,'3',268
H13581,0.0,A3D4,'814065','',TH,,2023-03-17,JENBUNJERD CO LTD,979.2,979.2,POI2300213,194.8608,0.199,MPC15,R,1,1,784.3392,'3',268
H13580,0.0,A3D4,'814065','',TH,,2023-03-17,JENBUNJERD CO LTD,979.2,979.2,POI2300212,194.8608,0.199,MPC15,R,1,1,784.3392,'3',268
H13579,0.0,A3D4,'814065','',TH,,2023-03-17,JENBUNJERD CO LTD,979.2,979.2,POI2300211,194.8608,0.199,MPC15,R,1,1,784.3392,'3',268
H13578,0.0,A3D4,'814065','',TH,,2023-03-17,JENBUNJERD CO LTD,979.2,979.2,POI2300210,194.8608,0.199,MPC15,R,1,1,784.3392,'3',268
H13577,0.0,A3D4,'814065','',TH,,2023-03-17,JENBUNJERD CO LTD,979.2,979.2,POI2300209,194.8608,0.199,MPC15,R,1,1,784.3392,'3',268
H13570,0.0,A3C6,'006065','',TH,,2023-03-16,'DILOK AND SONS CO.,LTD.',24312.9,24312.9,TH2023/8488,5786.4702,0.238,H4.0UT,R,1,1,18526.4298,'5',279
H13444,0.0,A3B7,'006065','',TH,,2023-03-15,'DILOK AND SONS CO.,LTD.',8205.6075,8205.6075,TH2023/8487,2798.1121575,0.341,SL1.5UTS,R,1,1,5407.4953425,'3',249
H12967,0.0,A3D4,'814065','',TH,,2023-03-14,JENBUNJERD CO LTD,843.2,843.2,POI2300204,177.072,0.21,MPC15,R,1,1,666.128,'3',268
H12966,0.0,A3D4,'814065','',TH,,2023-03-14,JENBUNJERD CO LTD,843.2,843.2,POI2300203,177.072,0.21,MPC15,R,1,1,666.128,'3',268
H12965,0.0,A3D4,'814065','',TH,,2023-03-14,JENBUNJERD CO LTD,843.2,843.2,POI2300202,177.072,0.21,MPC15,R,1,1,666.128,'3',268
H12964,0.0,A3D4,'814065','',TH,,2023-03-14,JENBUNJERD CO LTD,843.2,843.2,POI2300201,177.072,0.21,MPC15,R,1,1,666.128,'3',268
H12963,0.0,A3D4,'814065','',TH,,2023-03-14,JENBUNJERD CO LTD,843.2,843.2,POI2300200,177.072,0.21,MPC15,R,1,1,666.128,'3',268
H12962,0.0,A3D4,'814065','',TH,,2023-03-14,JENBUNJERD CO LTD,843.2,843.2,POI2300199,177.072,0.21,MPC15,R,1,1,666.128,'3',268
H12961,0.0,A3D4,'814065','',TH,,2023-03-14,JENBUNJERD CO LTD,843.2,843.2,POI2300198,177.072,0.21,MPC15,R,1,1,666.128,'3',268
H12960,0.0,A3D4,'814065','',TH,,2023-03-14,JENBUNJERD CO LTD,843.2,843.2,POI2300197,177.072,0.21,MPC15,R,1,1,666.128,'3',268
H12959,0.0,A3D4,'814065','',TH,,2023-03-14,JENBUNJERD CO LTD,843.2,843.2,POI2300196,177.072,0.21,MPC15,R,1,1,666.128,'3',268
H12958,0.0,A3D4,'814065','',TH,,2023-03-14,JENBUNJERD CO LTD,843.2,843.2,POI2300195,177.072,0.21,MPC15,R,1,1,666.128,'3',268
H12933,0.0,A406,'006065','',TH,,2023-03-14,'DILOK AND SONS CO.,LTD.',20768.4,20768.4,TH2023/8486,2824.5024000000003,0.136,R1.6 406,R,1,1,17943.8976,'2',239
H12650,0.0,A7S4,'814065','',TH,,2023-03-13,JENBUNJERD CO LTD,24449.6,24449.6,POI2300177,3863.0368,0.158,ERP30UX,R,1,1,20586.563199999997,'1',264
H12649,0.0,A7S4,'814065','',TH,,2023-03-13,JENBUNJERD CO LTD,24449.6,24449.6,POI2300176,3863.0368,0.158,ERP30UX,R,1,1,20586.563199999997,'1',264
H12648,0.0,A7S4,'814065','',TH,,2023-03-13,JENBUNJERD CO LTD,24449.6,24449.6,POI2300175,3863.0368,0.158,ERP30UX,R,1,1,20586.563199999997,'1',264
H12647,0.0,D871,'814065','',TH,,2023-03-13,JENBUNJERD CO LTD,17098.85,17098.85,POI2300179,2393.839,0.14,GP30MX,R,1,1,14705.010999999999,'5',188
H12646,0.0,D871,'814065','',TH,,2023-03-13,JENBUNJERD CO LTD,19765.5,19765.5,POI2300178,2885.763,0.146,GP30MX,R,1,1,16879.737,'5',188
H12645,0.0,A7S4,'814065','',TH,,2023-03-13,JENBUNJERD CO LTD,24449.6,24449.6,POI2300174,3863.0368,0.158,ERP30UX,R,1,1,20586.563199999997,'1',264
H12643,0.0,B869,'816405','',KR,,2023-03-13,'YALE EQUIPMENT, INC',77068.54999999999,77068.54999999999,'23004YKT0313',10807.259653542107,0.1402291810802475,MTC15,R,1,1,66261.29034645788,'2',64
H12638,0.0,A3D4,'814065','',TH,,2023-03-12,JENBUNJERD CO LTD,843.2,843.2,POI2300189,177.072,0.21,MPC15,R,1,1,666.128,'3',268
H12637,0.0,A3D4,'814065','',TH,,2023-03-12,JENBUNJERD CO LTD,843.2,843.2,POI2300188,177.072,0.21,MPC15,R,1,1,666.128,'3',268
H12636,0.0,A3D4,'814065','',TH,,2023-03-12,JENBUNJERD CO LTD,843.2,843.2,POI2300187,177.072,0.21,MPC15,R,1,1,666.128,'3',268
H12635,0.0,A3D4,'814065','',TH,,2023-03-12,JENBUNJERD CO LTD,843.2,843.2,POI2300186,177.072,0.21,MPC15,R,1,1,666.128,'3',268
