'order_no','aopmargin_percentage','booking_margin_percentage_after_sur_charge','ctry_code','date','dealer_name','dealer_net','dealer_net_after_sur_charge','margin_after_sur_charge','margin_percentage_after_sur_charge','model','netrevenue','quantity','serial_number','series','total_cost','currency','product_dimension','region'
E92712,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,-7.139999999999986,-Infinity,MPC15,697.2399999999999,-1,A3D4M05804W,,7.139999999999986,,,
E92713,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,-7.139999999999986,-Infinity,MPC15,697.2399999999999,-1,A3D4M05805W,,7.139999999999986,,,
E92714,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,-7.139999999999986,-Infinity,MPC15,697.2399999999999,-1,A3D4M05806W,,7.139999999999986,,,
E92715,0.0,0.0,AU,2023-05-31,ADAPT-A-LIFT GROUP,0.0,0.0,-7.139999999999986,-Infinity,MPC15,697.2399999999999,-1,A3D4M05807W,,7.139999999999986,,,
H03883,0.26361771964088454,0.266,AU,2023-05-31,ADAPT-A-LIFT GROUP,8985.599999999999,8985.599999999999,5070.939999999999,0.5643407229344729,MP20KUX,5921.200000000001,1,A7R0H01601X,A7R0,3914.66,,251,2
H20505,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,1539.4,1539.4,1008.6700000000002,0.6552358061582435,MPC15,769.7,1,A3D4M08785X,A3D4,530.7299999999999,,268,1
H20510,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,239.7700000000001,0.31151097830323515,MPC15,769.7,1,A3D4M08790X,A3D4,529.93,,268,1
H20511,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,239.7700000000001,0.31151097830323515,MPC15,769.7,1,A3D4M08791X,A3D4,529.93,,268,1
H20512,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,239.7700000000001,0.31151097830323515,MPC15,769.7,1,A3D4M08792X,A3D4,529.93,,268,1
H20513,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,239.7700000000001,0.31151097830323515,MPC15,769.7,1,A3D4M08793X,A3D4,529.93,,268,1
H20514,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,239.7700000000001,0.31151097830323515,MPC15,769.7,1,A3D4M08794X,A3D4,529.93,,268,1
H20515,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,239.7700000000001,0.31151097830323515,MPC15,769.7,1,A3D4M08795X,A3D4,529.93,,268,1
H20516,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,239.7700000000001,0.31151097830323515,MPC15,769.7,1,A3D4M08796X,A3D4,529.93,,268,1
H20517,0.2219394896005153,0.15255944319130132,TW,2023-05-31,TA YIH MATERIALS H,769.7,769.7,238.79000000000008,0.3102377549694687,MPC15,769.7,1,A3D4M08797X,A3D4,530.91,,268,1
