'id','date','rate','from_currency','to_currency'
3534,2023-09-01,55.63370957,AUD,INR
3535,2023-09-01,60.95302245,CAD,INR
3536,2023-09-01,89.66412602,CHF,INR
3537,2023-09-01,7.907286252,SEK,INR
3538,2023-09-01,8.362985782,NOK,INR
3539,2023-09-01,4.848653877,ZAR,INR
3540,2023-09-01,15.94000108,BRL,INR
3541,2023-09-01,4.272408116,MXN,INR
3542,2023-09-01,10.63082873,HKD,INR
3543,2023-09-01,61.44115599,SGD,INR
3544,2023-09-01,11.89862578,CNY,INR
3545,2023-09-01,52.24699473,NZD,INR
3546,2023-09-01,1.0,INR,INR
3547,2023-09-01,22.55280372,AED,INR
3548,2023-09-01,220.2818765,BHD,INR
3549,2023-09-01,22.08597634,SAR,INR
3550,2023-09-01,1.131214584,RUB,INR
3551,2023-09-01,18.83032761,PLN,INR
3552,2023-09-01,2.392534642,THB,INR
3553,2023-09-01,18.72999193,MYR,INR
3554,2023-09-01,2.693461412,TWD,INR
3555,2023-09-01,3.647203505,CZK,INR
3556,2023-09-01,17.82666236,RON,INR
3557,2023-09-01,0.06534647232,KRW,INR
3558,2023-09-01,0.226607451,LKR,INR
3559,2023-09-01,0.003504558096,VND,INR
3560,2023-09-01,3.91213,EUR,AED
3561,2023-09-01,4.418039729,GBP,AED
3562,2023-09-01,3.673706451,USD,AED
3563,2023-09-01,0.0275037261,JPY,AED
3564,2023-09-01,0.5260714046,DKK,AED
3565,2023-09-01,2.466820102,AUD,AED
3566,2023-09-01,2.702680484,CAD,AED
3567,2023-09-01,3.97574187,CHF,AED
3568,2023-09-01,0.3506121169,SEK,AED
3569,2023-09-01,0.3708180095,NOK,AED
3570,2023-09-01,0.2149911797,ZAR,AED
3571,2023-09-01,0.7067857853,BRL,AED
3572,2023-09-01,0.1894402208,MXN,AED
3573,2023-09-01,0.4713750392,HKD,AED
3574,2023-09-01,2.724324513,SGD,AED
